IdProvincia	Descripcion	FechaAlta
1	Buenos Aires	2018-06-17 10:11:33.247
2	Capital Federal	2018-06-17 10:11:55.603
3	Catamarca	2018-06-17 10:11:55.603
4	Chaco	2018-06-17 10:11:55.603
5	Chubut	2018-06-17 10:11:55.603
6	Cordoba	2018-06-17 10:11:55.603
7	Corrientes	2018-06-17 10:11:55.603
8	Entre Rí­os	2018-06-17 10:11:55.603
9	Formosa	2018-06-17 10:11:55.603
10	Jujuy	2018-06-17 10:11:55.603
11	La Pampa	2018-06-17 10:11:55.603
12	La Rioja	2018-06-17 10:11:55.603
13	Mendoza	2018-06-17 10:11:55.603
14	Misiones	2018-06-17 10:11:55.603
15	Neuquén	2018-06-17 10:11:55.603
16	Río Negro	2018-06-17 10:11:55.603
17	Salta	2018-06-17 10:11:55.603
18	San Juan	2018-06-17 10:11:55.603
19	San Luis	2018-06-17 10:11:55.603
20	Santa Cruz	2018-06-17 10:11:55.603
21	Santa Fé	2018-06-17 10:11:55.603
22	Santiago del Estero	2018-06-17 10:11:55.603
23	Tierra del Fuego	2018-06-17 10:11:55.603
24	Tucumán	2018-06-17 10:11:55.620
